company_name,title,description,link
Tandem,Senior Backend Engineer (PHP / GO),"About Tandem Tandem is the leading global language learning community, where more than 20 million members from over 180 countries practice languages together. The concept of learning from each other is not only an integral part of the Tandem community but it is also at the heart of our everyday lives at Tandem. This shared...",https://berlinstartupjobs.com/engineering/senior-backend-engineer-php-go-tandem/
Climate Labs,(Senior) Backend Engineer (Kotlin/Java),"What if you could literally change the face of the earth? One global rewilding mission at a time. That’s what we do at Planet Wild. Planet Wild is a series A-funded, B-corp-certified, environmental startup from Berlin. But more importantly, it’s a global community that uses the power of digital storytelling to fix our planet – IRL....",https://berlinstartupjobs.com/engineering/kotlin-java-backend-engineer-f-m-d-climate-labs/
NEXT BASKET,Chief Technology Officer,"Chief Technology Officer (CTO) Are You Ready to Shape the Future of E-Commerce? We are Next Basket, a leading B2B e-commerce provider, and we’re looking for an exceptional CTO to lead our technology team into the future. Our platform, built on a robust microservices architecture, serves a global client base, and we’re on a mission...",https://berlinstartupjobs.com/engineering/chief-technology-officer-next-basket/
NEXT BASKET,Software Architect (e-Commerce),"Software Architect – B2B E-Commerce Platform Are You Ready to Shape the Future of E-Commerce Technology? We are Next Basket, a pioneering B2B e-commerce provider, and we’re on the lookout for an exceptional Software Architect to lead the design and architecture of our next-generation platform. If you’re passionate about building scalable, high-performance software systems and...",https://berlinstartupjobs.com/engineering/software-architect-e-commerce-next-basket/
GlassFlow,Lead Frontend Engineer,About GlassFlow GlassFlow is building a hands-free data streaming infrastructure for modern data teams. We are an early-stage VC-backed startup from Berlin that is building a category-defining infrastructure product from the ground up. GlassFlow will enable millions of data engineers across the world to get value out of their real time events data without the...,https://berlinstartupjobs.com/engineering/lead-frontend-engineer-glassflow/
anni.care,Lead Software Engineer (m/w/d) – SaaS & KI im Gesundheitswesen,"Wir sind annicare, ein innovatives und zukunftsorientiertes SaaS-Startup mit Sitz in Berlin. Unsere Mission ist es, den Personalmangel im deutschen Gesundheitswesen effektiv zu bekämpfen. Unsere Plattform ermöglicht es Gesundheitsanbietern, sich wieder voll und ganz auf das Wohl ihrer Patienten zu konzentrieren, indem KI und Automatisierungen zeitraubende Hintergrundaufgaben übernehmen. Aufgaben Sicherstellung der Stabilität, Sicherheit und Skalierbarkeit...",https://berlinstartupjobs.com/engineering/lead-software-engineer-m-w-d-saas-ki-im-gesundheitswesen-anni-care/
Agenta,Founding Product Engineer (Frontend),"About Us: Agenta is an open-source LLM developer platform. We help teams build reliable LLM powered applications such as chatbots or agents. Our product provides the necessary tools for collaboration and building reliable LLM applications: prompt management, evaluation and testing, and observability. We are an open-source company with strong traction and paying customers, backed by...",https://berlinstartupjobs.com/engineering/founding-product-engineer-frontend-agenta-ai/
keySquare Network,Backend Developer (m/f/d) with a Focus on PHP,"We are a communication and web design agency based in Berlin. As an experienced, owner-managed agency, we serve German and international clients in the gaming, web, and technology sectors. Responsibilities Development and maintenance of our global eCommerce projects Integration and customization of WordPress and WooCommerce Integration of APIs to connect external services and systems Collaborate...",https://berlinstartupjobs.com/engineering/backend-developer-m-f-d-with-a-focus-on-php-keysquare-network-ug-haftungsbeschrankt-co-kg/
Targomo,IT System Administrator (m/f/x),"Targomo is a Berlin-based growing software company specialized in location intelligence. Our web-based platform, TargomoLOOP, supports well-known brands in the retail, hospitality and fitness industries across 25+ countries with AI-powered location network planning, data visualization and site selection. Our IT Infrastructure and DevOps team is looking for an IT System Administrator to strengthen our internal...",https://berlinstartupjobs.com/engineering/it-system-administrator-m-f-x-targomo-casafari-gmbh/
Climatiq,Senior Full Stack Engineer – Climate Tech – Rust & TypeScript,"About Climatiq We are a fast-growing climate tech startup on a mission to drive climate action through data and insight. Our team consists of entrepreneurs, technologists, and scientists who have come from backgrounds such as Google, MIT, and other leading companies and academic institutions. Together, we are building a tech platform that empowers organizations to...",https://berlinstartupjobs.com/companies/climatiq/
DATATRONiQ,(Senior) Developer Fullstack (Typescript / Javascript / Node.js),🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/engineering/senior-developer-fullstack-typescript-javascript-node-js-m-f-d-datatroniq/
DATATRONiQ,(Senior) Backend Developer (Golang),🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/engineering/senior-backend-developer-golang-m-f-d-datatroniq/
Latana,Senior Data Engineer,"About us We are Latana, a leading brand insights company focused on capturing the $18 Billion+ brand tracking market. Put simply, Latana gives brands the tools to make better marketing and campaign decisions by giving them world-class insights about their brand performance. In its short existence, Latana has already started working with some of the...",https://berlinstartupjobs.com/engineering/senior-data-engineer-latana/
LIQUIDLOOP,"3D Design for hardware production assistance Intern (m, f, d)","About the job At LIQUIDLOOP, our vision is to accelerate research & innovation in green energy and chemistry technologies. We aim to provide electrochemical analytical solutions that facilitate the direct capture of CO2 and the conversion of CO2 into valuable chemicals. We currently focus on developing a laboratory research instrument for electrochemistry, a field that will enable energy transition...",https://berlinstartupjobs.com/internships/3d-design-for-hardware-production-assistance-intern-m-f-d-liquidloop-gmbh/
mediaire,Senior Software Engineer,"WHO WE ARE We are a Berlin-based medtech startup dedicated to building AI-powered software that supports radiologists with their daily work: ​analyzing medical images. Our applications for identifying Alzheimer\’s, multiple sclerosis, aneurysms and cancer from MRI scans are already on the market and quickly gaining traction. Crucial for our success is the seamless integration of...",https://berlinstartupjobs.com/engineering/senior-software-engineer-mediaire/
Kaiko Systems,Senior Fullstack Engineer (f/m/d),"Transform operations on the frontline of a key global key industry – shipping – as a Senior Engineer at Kaiko Systems. Shipping is an industry on the brink of disruption. Many other major global industries already went through fundamental changes, and logistics as the backbone of global trade is next. We at Kaiko are dedicated...",https://berlinstartupjobs.com/engineering/senior-fullstack-engineer-f-m-d-kaiko-systems/
